gene,source,drug
CDK7,CancerCommons,BMS-387032
VDR,DTC,NIFEKALANT
GPR55,DTC,BISACODYL
NR1H4,DTC,PENTACHLOROPHENOL
FGFR2,JAX-CKB,
APOE,NCI,PREDNISONE
BLM,DTC,"9,10-PHENANTHRENEQUINONE"
P2RX7,TTD,
TRPC6,GuideToPharmacology,
CYP2E1,NCI,ISOFLAVONE
PDGFRB,ChemblInteractions,QUIZARTINIB
MMP2,GuideToPharmacology,
MAPT,DTC,DIHYDROXANTHOHUMOL
NR2E3,DTC,CHEMBL600336
DNTT,NCI,HYDROXYUREA
ARAF,PharmGKB,SORAFENIB
PIK3R2,MyCancerGenome,PF-04691502
MAPK8,DTC,JNJ-7706621
POLH,DTC,CHEMBL56393
CBX1,DTC,BENSERAZIDE
ICAM1,TTD,BI-505
ATP4A,TEND,PANTOPRAZOLE
CHRM5,GuideToPharmacology,
IDH1,JAX-CKB,
SPHK1,TTD,
CYP3A4,PharmGKB,OXAZEPAM
APOBEC3G,DTC,CHEMBL1388703
F2R,ChemblInteractions,RIGOSERTIB SODIUM
TRPV1,TTD,
ATP1A1,TdgClinicalTrial,ISTAROXIME
EZH2,TTD,
HTR1A,GuideToPharmacology,LYSERGIDE
USP1,DTC,CHEMBL578741
KDM4E,DTC,CHEMBL1372046
,TTD,
NFKB1,DTC,CHEMBL528694
PI4KB,GuideToPharmacology,
CD2,GuideToPharmacology,ALEFACEPT
ADRB2,TdgClinicalTrial,ALPRENOLOL
CACNA1F,ChemblInteractions,IMAGABALIN
NFE2L2,DTC,ALDICARB
GABRA6,GuideToPharmacology,BRETAZENIL
SMARCA4,GuideToPharmacology,
IL10,NCI,
CA2,TTD,PARABEN
CSF1R,GuideToPharmacology,CEDIRANIB
TLR8,GuideToPharmacology,MOTOLIMOD
JAK3,TTD,
PDK1,TTD,
ALDH1A1,DTC,ROTTLERIN
COL6A6,ChemblInteractions,OCRIPLASMIN
RARG,TTD,
NR1I2,PharmGKB,DIETHYLSTILBESTROL
SCN11A,ChemblInteractions,NKTR-171
FMO3,PharmGKB,TACROLIMUS
GADD45A,NCI,DOXORUBICIN
POLK,DTC,RESVERATROL
DRD4,ChemblInteractions,LOXAPINE SUCCINATE
IL2RA,TdgClinicalTrial,
KDR,TdgClinicalTrial,LENVATINIB
GMNN,DTC,IDAZOXAN
NR3C1,TTD,MIFEPRISTONE
,TTD,
KRAS,JAX-CKB,LENALIDOMIDE
MAPK12,DTC,SB-202190
RACGAP1,DTC,CHEMBL526776
MGMT,NCI,CHLORAMBUCIL
BAX,NCI,PREDNISOLONE
ATAD5,DTC,DOMPERIDONE
